cliente_Log,idade,uf_nascimento,renda,Faixa de Renda
13499,89,SP,11337,Mais Que R$10.000
27614,54,SP,2050,Entre R$1.750 e R$2.500
19590,47,SP,8258,Entre R$7.500 e R$10.000
14043,39,SP,4671,Entre R$2.500 e R$5.000
09273,26,RS,9207,Entre R$7.500 e R$10.000
04546,34,SP,6047,Entre R$5.000 e R$7.500
09389,88,SP,4148,Entre R$2.500 e R$5.000
09473,34,BA,2758,Entre R$2.500 e R$5.000
09284,78,SP,6596,Entre R$5.000 e R$7.500
12287,37,SP,7571,Entre R$7.500 e R$10.000
27977,38,MG,13405,Mais Que R$10.000
26532,28,RN,3822,Entre R$2.500 e R$5.000
19134,18,SP,11717,Mais Que R$10.000
27759,37,ES,13938,Mais Que R$10.000
21300,24,MG,2306,Entre R$1.750 e R$2.500
06430,22,BA,3216,Entre R$2.500 e R$5.000
02020,73,PE,4772,Entre R$2.500 e R$5.000
19914,68,PR,13320,Mais Que R$10.000
18068,68,SP,11111,Mais Que R$10.000
03873,25,ES,8115,Entre R$7.500 e R$10.000
06737,21,MG,6535,Entre R$5.000 e R$7.500
12913,88,RJ,14301,Mais Que R$10.000
02230,31,RJ,5661,Entre R$5.000 e R$7.500
26916,22,RJ,7368,Entre R$5.000 e R$7.500
03526,27,BA,9681,Entre R$7.500 e R$10.000
07769,72,SP,10174,Mais Que R$10.000
13727,48,PR,1887,Entre R$1.750 e R$2.500
12578,40,SC,10331,Mais Que R$10.000
27730,78,MG,13318,Mais Que R$10.000
00343,19,RS,11907,Mais Que R$10.000
16073,37,PE,4257,Entre R$2.500 e R$5.000
21597,29,SP,11958,Mais Que R$10.000
17160,33,RJ,5942,Entre R$5.000 e R$7.500
25703,57,SP,10866,Mais Que R$10.000
26093,41,RS,2981,Entre R$2.500 e R$5.000
27772,30,RJ,10556,Mais Que R$10.000
16857,30,BA,13577,Mais Que R$10.000
09190,40,MG,11086,Mais Que R$10.000
24525,69,RJ,10670,Mais Que R$10.000
16474,27,MG,6655,Entre R$5.000 e R$7.500
09767,60,SP,6702,Entre R$5.000 e R$7.500
24765,22,DF,10725,Mais Que R$10.000
05813,65,MG,6935,Entre R$5.000 e R$7.500
15948,62,BA,13673,Mais Que R$10.000
26299,70,ES,14142,Mais Que R$10.000
21153,60,SP,6667,Entre R$5.000 e R$7.500
19220,52,BA,2488,Entre R$1.750 e R$2.500
25538,34,RS,9841,Entre R$7.500 e R$10.000
17151,48,BA,11719,Mais Que R$10.000
24530,19,BA,4631,Entre R$2.500 e R$5.000
20331,57,RJ,7604,Entre R$7.500 e R$10.000
09958,25,SP,10544,Mais Que R$10.000
27241,40,MG,11731,Mais Que R$10.000
15426,55,PE,7574,Entre R$7.500 e R$10.000
15841,69,DF,6997,Entre R$5.000 e R$7.500
02282,18,AM,3204,Entre R$2.500 e R$5.000
06730,53,SP,3366,Entre R$2.500 e R$5.000
18829,59,MG,10238,Mais Que R$10.000
22766,55,PR,4176,Entre R$2.500 e R$5.000
12388,80,BA,1941,Entre R$1.750 e R$2.500
07117,72,SP,5534,Entre R$5.000 e R$7.500
11626,28,SP,3907,Entre R$2.500 e R$5.000
21815,54,SC,10001,Mais Que R$10.000
19496,22,RS,3294,Entre R$2.500 e R$5.000
23471,36,DF,9861,Entre R$7.500 e R$10.000
13927,72,AL,7282,Entre R$5.000 e R$7.500
13094,37,RJ,12679,Mais Que R$10.000
18177,88,SP,14803,Mais Que R$10.000
10680,57,SP,14508,Mais Que R$10.000
00604,19,RJ,7369,Entre R$5.000 e R$7.500
12244,66,MG,10290,Mais Que R$10.000
06308,59,CE,1682,Até R$1.750
